模型,50次CV AUC均值,标准差
LogisticRegression,0.7888813559322032,0.04595570103822148
RandomForest,0.805071186440678,0.041401306589315484
XGBoost,0.8027932203389831,0.04598582447731445
ExtraTrees,0.7925423728813559,0.04479627349380014
Voting Ensemble,0.8067254237288136,0.045003436812166196
