模型,Fold1,Fold2,Fold3,Fold4,Fold5,平均AUC,标准差
LogisticRegression,0.7206779661016949,0.7457627118644068,0.7138983050847458,0.6840677966101695,0.7383050847457627,0.720542372881356,0.021569126861177686
RandomForest,0.7410169491525425,0.7552542372881357,0.6738983050847458,0.6983050847457628,0.7505084745762711,0.7237966101694916,0.03206027073332971
XGBoost,0.7430508474576272,0.7200000000000001,0.6698305084745763,0.6813559322033899,0.7742372881355932,0.7176949152542373,0.03861812986197282
LightGBM,0.7410169491525423,0.6847457627118644,0.6738983050847457,0.6576271186440679,0.7566101694915255,0.7027796610169491,0.03887909499433189
CatBoost,0.7464406779661018,0.7322033898305085,0.6766101694915254,0.6894915254237288,0.7620338983050847,0.7213559322033898,0.03292152011438369
