模型,Fold1,Fold2,Fold3,Fold4,Fold5,平均AUC,标准差
LogisticRegression,0.64,0.7416949152542373,0.68,0.696271186440678,0.6264406779661017,0.6768813559322033,0.04120918671616228
RandomForest,0.7064406779661017,0.8013559322033899,0.7484745762711865,0.7003389830508475,0.7111864406779662,0.7335593220338983,0.0378375547778347
ExtraTrees,0.6928813559322033,0.7979661016949152,0.7376271186440678,0.7294915254237287,0.7044067796610168,0.7324745762711864,0.036551365202823496
MLP,0.6474576271186441,0.7023728813559322,0.7315254237288136,0.656271186440678,0.6779661016949153,0.6831186440677965,0.03076681580693749
XGB,0.6562711864406781,0.7891525423728813,0.7389830508474576,0.6650847457627118,0.6833898305084746,0.7065762711864407,0.05031659606061092
LGBM,0.6508474576271186,0.7972881355932203,0.7484745762711864,0.6528813559322033,0.7118644067796611,0.712271186440678,0.056282784183630044
CatBoost,0.6847457627118644,0.7925423728813559,0.7477966101694915,0.6589830508474576,0.6813559322033897,0.7130847457627117,0.0495080538919918
Stacking,0.696271186440678,0.8122033898305085,0.751864406779661,0.6894915254237288,0.7098305084745762,0.7319322033898304,0.045611753526398735
