模型,外折,trial,内层CV_AUC
RandomForest,2,20,0.8057806138595417
RandomForest,3,1,0.7978747900564729
RandomForest,3,2,0.7946869462133795
RandomForest,3,3,0.7891001197032471
RandomForest,3,4,0.7939436463263716
RandomForest,3,5,0.775921769964957
RandomForest,3,6,0.7983753856799277
RandomForest,3,7,0.7775472231913035
RandomForest,3,8,0.7955819724248615
RandomForest,3,9,0.7985942245063615
RandomForest,3,10,0.7887208762115687
RandomForest,3,11,0.7936575503589651
RandomForest,3,12,0.8031235951935877
RandomForest,3,13,0.7988694725478046
RandomForest,3,14,0.8004471948999127
RandomForest,3,15,0.7990146901167005
RandomForest,3,16,0.8004471948999127
RandomForest,3,17,0.7959265025534572
RandomForest,3,18,0.7988911683997313
RandomForest,3,19,0.7786243499199568
RandomForest,3,20,0.7952092376887613
RandomForest,4,1,0.7866427028750186
RandomForest,4,2,0.785429181557253
RandomForest,4,3,0.7919694684400568
RandomForest,4,4,0.7822890685883985
RandomForest,4,5,0.798373360733748
RandomForest,4,6,0.7783990023379451
RandomForest,4,7,0.7866492116305966
RandomForest,4,8,0.7809323546479168
RandomForest,4,9,0.7760412417895665
RandomForest,4,10,0.7904893774216187
RandomForest,4,11,0.786133428910793
RandomForest,4,12,0.7981176389590386
RandomForest,4,13,0.798373360733748
RandomForest,4,14,0.798373360733748
RandomForest,4,15,0.798373360733748
RandomForest,4,16,0.8002717477773323
RandomForest,4,17,0.7979745909753356
RandomForest,4,18,0.7924917599154382
RandomForest,4,19,0.7838601375459157
RandomForest,4,20,0.7924917599154382
RandomForest,5,1,0.7606762394550927
RandomForest,5,2,0.7631880405521508
RandomForest,5,3,0.7690327584221851
RandomForest,5,4,0.757280404711529
RandomForest,5,5,0.7549789087391471
RandomForest,5,6,0.7536851127692529
RandomForest,5,7,0.7456580814734203
RandomForest,5,8,0.7608279657795668
RandomForest,5,9,0.7547145086236672
RandomForest,5,10,0.76769774033363
RandomForest,5,11,0.7686383278341581
RandomForest,5,12,0.7686383278341581
RandomForest,5,13,0.7639682233874341
RandomForest,5,14,0.7690327584221851
RandomForest,5,15,0.7611531142804412
RandomForest,5,16,0.7690327584221851
RandomForest,5,17,0.7542160825854051
RandomForest,5,18,0.7603729314451578
RandomForest,5,19,0.7689200846311793
RandomForest,5,20,0.7573778914061863
XGBoost,1,1,0.7748297454179807
XGBoost,1,2,0.7463711518067436
XGBoost,1,3,0.7825967157687188
XGBoost,1,4,0.766310796839464
XGBoost,1,5,0.7211155891349487
XGBoost,1,6,0.72173753689018
XGBoost,1,7,0.7432766001269352
XGBoost,1,8,0.7377158086391148
XGBoost,1,9,0.7640765580080547
XGBoost,1,10,0.7413586868166169
XGBoost,1,11,0.7771030367828581
XGBoost,1,12,0.7786612328682322
XGBoost,1,13,0.7747062237010116
XGBoost,1,14,0.7752220064208152
XGBoost,1,15,0.7583380051734482
XGBoost,1,16,0.7676002536389729
XGBoost,1,17,0.7793524627106162
XGBoost,1,18,0.778340423537743
XGBoost,1,19,0.776899385052773
XGBoost,1,20,0.7654980702262906
XGBoost,2,1,0.8083551882881741
XGBoost,2,2,0.8137797298258951
XGBoost,2,3,0.8056420496852366
XGBoost,2,4,0.798286721965054
XGBoost,2,5,0.7838017033847264
XGBoost,2,6,0.8068275110345103
XGBoost,2,7,0.8024390187457947
XGBoost,2,8,0.8076053796455881
XGBoost,2,9,0.7843672419249486
XGBoost,2,10,0.8066302234209903
XGBoost,2,11,0.8176304542648548
XGBoost,2,12,0.8149562235563724
XGBoost,2,13,0.8109362714723846
XGBoost,2,14,0.8136993105347535
XGBoost,2,15,0.796470779158791
XGBoost,2,16,0.8088838438801208
XGBoost,2,17,0.8044305533136509
XGBoost,2,18,0.8126028021783793
XGBoost,2,19,0.8079217051666792
XGBoost,2,20,0.8084224454291468
XGBoost,3,1,0.7989106946664654
XGBoost,3,2,0.7974456461053632
XGBoost,3,3,0.8057349079314827
XGBoost,3,4,0.7925199645229428
XGBoost,3,5,0.797090412689817
XGBoost,3,6,0.8030217693285452
XGBoost,3,7,0.7922315543313309
XGBoost,3,8,0.7970859288804188
XGBoost,3,9,0.7940389634358361
XGBoost,3,10,0.7861332842717802
XGBoost,3,11,0.7860726805253982
XGBoost,3,12,0.8007311212821264
XGBoost,3,13,0.8001610989325063
XGBoost,3,14,0.7915424940741396
XGBoost,3,15,0.7892820755814055
XGBoost,3,16,0.7926064586526239
XGBoost,3,17,0.8019294555035433
XGBoost,3,18,0.7933976340528835
XGBoost,3,19,0.7996281041701742
XGBoost,3,20,0.7844560502788352
XGBoost,4,1,0.7751809289411673
XGBoost,4,2,0.7795345632277874
XGBoost,4,3,0.7828026817230094
XGBoost,4,4,0.7862223819036923
XGBoost,4,5,0.7756489807867322
XGBoost,4,6,0.7814352644955772
XGBoost,4,7,0.7774997815950906
XGBoost,4,8,0.783179755629495
XGBoost,4,9,0.7732455143102946
XGBoost,4,10,0.7815608111587262
XGBoost,4,11,0.756853430345612
XGBoost,4,12,0.7836326203787113
XGBoost,4,13,0.783259885642611
XGBoost,4,14,0.7795454111537508
XGBoost,4,15,0.7674073051958383
XGBoost,4,16,0.788606177474383
XGBoost,4,17,0.7809388634034948
XGBoost,4,18,0.7727061554313975
XGBoost,4,19,0.7722985626932015
XGBoost,4,20,0.7829195500453877
XGBoost,5,1,0.7500120050380662
XGBoost,5,2,0.7603534051784239
XGBoost,5,3,0.7571677309205231
XGBoost,5,4,0.7507573298712539
XGBoost,5,5,0.7458032990423161
XGBoost,5,6,0.7542291000965612
XGBoost,5,7,0.7522614309658241
XGBoost,5,8,0.7559997708918037
XGBoost,5,9,0.7416511469005885
XGBoost,5,10,0.7441953471365236
XGBoost,5,11,0.7631878959131378
XGBoost,5,12,0.762687300289683
XGBoost,5,13,0.7656020656765258
XGBoost,5,14,0.7616861090427732
XGBoost,5,15,0.7597421607101428
XGBoost,5,16,0.7188768664941413
XGBoost,5,17,0.7447740478269145
XGBoost,5,18,0.7599242612273142
XGBoost,5,19,0.7527121261298476
XGBoost,5,20,0.7512774517614429
ExtraTrees,1,1,0.764206443841589
ExtraTrees,1,2,0.7743073093035863
ExtraTrees,1,3,0.7626222127339028
ExtraTrees,1,4,0.7603597692949889
ExtraTrees,1,5,0.7666271223605549
ExtraTrees,1,6,0.7609211133038385
ExtraTrees,1,7,0.7752088442706463
ExtraTrees,1,8,0.7661048308851733
ExtraTrees,1,9,0.7752088442706463
ExtraTrees,1,10,0.7551868996396175
ExtraTrees,1,11,0.7699211312390761
ExtraTrees,1,12,0.7732909309603277
ExtraTrees,1,13,0.7760930225561647
ExtraTrees,1,14,0.7773824793556737
ExtraTrees,1,15,0.7759695008391955
ExtraTrees,1,16,0.76833892507757
ExtraTrees,1,17,0.7710458442029551
ExtraTrees,1,18,0.7773781401852884
ExtraTrees,1,19,0.7735705181721565
ExtraTrees,1,20,0.7710348516379789
ExtraTrees,2,1,0.7843520548285999
ExtraTrees,2,2,0.7826746761966419
ExtraTrees,2,3,0.7871302809873174
ExtraTrees,2,4,0.7789623712929744
ExtraTrees,2,5,0.7873295935470171
ExtraTrees,2,6,0.7869568588109169
ExtraTrees,2,7,0.7833443548261121
ExtraTrees,2,8,0.7804404373652326
ExtraTrees,2,9,0.7892171326646382
ExtraTrees,2,10,0.7863262327149148
ExtraTrees,2,11,0.7909964818006516
ExtraTrees,2,12,0.7909964818006516
ExtraTrees,2,13,0.7909964818006516
