Model,OOF AUC,50xCV AUC (mean),50xCV AUC (std),Accuracy,Precision,Recall,F1
Voting Ensemble,0.7968,0.809613559322034,0.0427864165070873,0.7380952380952381,0.5460122699386503,0.712,0.6180555555555556
RandomForest,0.7909966101694914,0.8072542372881358,0.0408714607019839,0.7404761904761905,0.5487804878048781,0.72,0.6228373702422145
XGBoost,0.785871186440678,0.8056271186440678,0.044215710043501,0.7428571428571429,0.5570469798657718,0.664,0.6058394160583942
LogisticRegression,0.7854101694915254,0.7938983050847458,0.0431751042780076,0.7095238095238096,0.5094339622641509,0.648,0.5704225352112676
ExtraTrees,0.7911050847457627,0.7935322033898305,0.0434383648047976,0.7119047619047619,0.5117647058823529,0.696,0.5898305084745763
