Model,AUC,Accuracy,Precision,Recall,F1,Brier_Score,Specificity,NPV,PPV
LogisticRegression,0.9938983050847457,0.9404761904761905,0.8846153846153846,0.92,0.9019607843137255,0.050455413836634634,0.9491525423728814,0.9655172413793104,0.8846153846153846
MLP,0.9823728813559323,0.9523809523809523,0.8888888888888888,0.96,0.9230769230769231,0.05556700863083393,0.9491525423728814,0.9824561403508771,0.8888888888888888
CatBoost,0.9769491525423729,0.9166666666666666,0.8214285714285714,0.92,0.8679245283018868,0.06634568256033843,0.9152542372881356,0.9642857142857143,0.8214285714285714
LightGBM,0.9769491525423728,0.8928571428571429,0.7857142857142857,0.88,0.8301886792452831,0.0767386244855256,0.8983050847457628,0.9464285714285714,0.7857142857142857
XGBoost,0.967457627118644,0.9166666666666666,0.8214285714285714,0.92,0.8679245283018868,0.06707233935594559,0.9152542372881356,0.9642857142857143,0.8214285714285714
TabNet,0.9593220338983051,0.8452380952380952,0.6764705882352942,0.92,0.7796610169491526,0.1303856372833252,0.8135593220338984,0.96,0.6764705882352942
ExtraTrees,0.9579661016949153,0.8809523809523809,0.7777777777777778,0.84,0.8076923076923077,0.0847537037037037,0.8983050847457628,0.9298245614035088,0.7777777777777778
RandomForest,0.9528813559322034,0.8928571428571429,0.7857142857142857,0.88,0.8301886792452831,0.08749179894179895,0.8983050847457628,0.9464285714285714,0.7857142857142857
